	qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen
0	1apo	1WHE:A	100	42	0	0	1	42	45	86	1.8499999999999999e-28	98.6	42
1	1urk	1URK:A	100	41	0	0	1	41	1	41	5.26e-29	101.0	41
2	1fsb	1FSB:A	100	40	0	0	1	40	1	40	5.130000000000001e-27	93.6	40
3	1esl	8R5M:A	100	37	0	0	1	37	121	157	2.94e-22	87.4	37
4	1hre	1HRE:A	100	67	0	0	1	67	1	67	5.39e-47	145.0	67
5	1epi	1EPG:A	100	53	0	0	1	53	1	53	2.16e-40	128.0	53
6	4tgf	4TGF:A	100	50	0	0	1	50	1	50	6.750000000000001e-36	116.0	50
7	1dan1	4ZMA:L	100	40	0	0	1	40	47	86	5.64e-26	94.0	40
8	1dan2	6R2W:L	100	56	0	0	1	56	87	142	2.34e-39	128.0	56
9	1rfnb	1RFN:B	100	57	0	0	1	57	1	57	1.65e-39	126.0	57
10	1rfnb	3LC3:B	100	57	0	0	1	57	1	57	1.65e-39	126.0	57
11	1rfnb	3LC3:D	100	57	0	0	1	57	1	57	1.65e-39	126.0	57
